LABELS
#tree_taxonomy=family
SEPARATOR TAB
DATA
tax_24579	Menyanthaceae
tax_4724	Pandanaceae
tax_25913	Cyclanthaceae
tax_16376	Velloziaceae
tax_4671	Dioscoreaceae
tax_114201	Nartheciaceae
tax_4449	Alismataceae
tax_4454	Araceae
tax_27254	Zosteraceae
tax_25926	Cymodoceaceae
tax_26319	Hydrocharitaceae
tax_16362	Potamogetonaceae
tax_42228	Acoraceae
tax_4328	Proteaceae
tax_4401	Platanaceae
tax_4429	Nelumbonaceae
tax_22910	Sabiaceae
tax_22788	Lardizabalaceae
tax_16712	Eupteleaceae
tax_41773	Berberidaceae
tax_3440	Ranunculaceae
tax_3455	Menispermaceae
tax_3465	Papaveraceae
tax_4405	Trochodendraceae
tax_104773	Siparunaceae
tax_3427	Calycanthaceae
tax_3433	Lauraceae
tax_22063	Monimiaceae
tax_16727	Aristolochiaceae
tax_16739	Piperaceae
tax_16748	Saururaceae
tax_2956716	Asaraceae
tax_3401	Magnoliaceae
tax_22140	Annonaceae
tax_22274	Myristicaceae
tax_22299	Eupomatiaceae
tax_3417	Winteraceae
tax_3424	Canellaceae
tax_16737	Chloranthaceae
tax_32203	Ceratophyllaceae
tax_4000	Buxaceae
tax_4410	Nymphaeaceae
tax_16733	Schisandraceae
tax_94394	Sciadopityaceae
tax_25623	Taxaceae
tax_3367	Cupressaceae
tax_25664	Araucariaceae
tax_3362	Podocarpaceae
tax_3318	Pinaceae
tax_3298	Zamiaceae
tax_3394	Cycadaceae
tax_3309	Ginkgoaceae
tax_3375	Welwitschiaceae
tax_3379	Gnetaceae
tax_3386	Ephedraceae
tax_29600	Blechnaceae
tax_41972	Aspleniaceae
tax_1203500	Cystopteridaceae
tax_1203520	Athyriaceae
tax_693794	Onocleaceae
tax_29607	Dryopteridaceae
tax_29637	Davalliaceae
tax_3275	Polypodiaceae
tax_32151	Nephrolepidaceae
tax_693797	Tectariaceae
tax_32084	Dennstaedtiaceae
tax_13819	Pteridaceae
tax_29619	Hymenophyllaceae
tax_3269	Dicksoniaceae
tax_693768	Cibotiaceae
tax_32186	Salviniaceae
tax_13814	Marsileaceae
tax_693765	Lygodiaceae
tax_3238	Psilotaceae
tax_3256	Equisetaceae
tax_3245	Selaginellaceae
tax_3250	Lycopodiaceae
tax_13837	Isoetaceae
tax_65550	Grimmiaceae
tax_52981	Fissidentaceae
tax_94550	Myuriaceae
tax_37421	Brachytheciaceae
tax_2231517	Pylaisiaceae
tax_53009	Hypnaceae
tax_28466	Hylocomiaceae
tax_3227	Mniaceae
tax_3211	Polytrichaceae
tax_37393	Aytoniaceae
tax_41842	Ricciaceae
tax_29585	Marchantiaceae
tax_139835	Radulaceae
tax_3201	Jungermanniaceae
