	filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
15	Sep2023_conjBA_BeefDiet_020_L1-16.mzML	133478474.21987392	41743313.2756	31.273442043424815	L1-16	MS1_pos	DP4	MED5.5	25.3	204.0	Mediterranean
14	Sep2023_conjBA_BeefDiet_032_L1-138.mzML	129753074.32810213	23857019.580152	18.386477317543612	L1-138	MS1_pos	DP3	MED2.5	27.0	234.0	Mediterranean
13	Sep2023_conjBA_BeefDiet_017_L1-106.mzML	180382614.9088031	37762665.46178999	20.934758862921374	L1-106	MS1_pos	DP2	MED5.5	27.0	226.0	Mediterranean
12	Sep2023_conjBA_BeefDiet_026_L1-120.mzML	172568499.26011598	46958254.25952001	27.2113708242539	L1-120	MS1_pos	DP2	MED5.5	26.0	229.0	Mediterranean
10	Sep2023_conjBA_BeefDiet_007_L1-98.mzML	118469048.88021101	25559663.03850002	21.57497108324425	L1-98	MS1_pos	DP3	MED5.5	23.9	224.0	Mediterranean
9	Sep2023_conjBA_BeefDiet_012_L1-30.mzML	128256794.9683719	20939129.36909999	16.32594154115856	L1-30	MS1_pos	DP2	MED5.5	25.2	208.0	Mediterranean
8	Sep2023_conjBA_BeefDiet_018_L1-51.mzML	150109355.09902006	34614985.12838	23.05984534111557	L1-51	MS1_pos	DP3	MED5.5	25.7	212.0	Mediterranean
7	Sep2023_conjBA_BeefDiet_011_L1-47.mzML	202493044.62643096	33290914.36110499	16.440522400422044	L1-47	MS1_pos	DP4	MED0.5	25.0	211.0	Mediterranean
6	Sep2023_conjBA_BeefDiet_013_L1-116.mzML	157112924.74557886	61485271.24799998	39.1344450799107	L1-116	MS1_pos	DP3	MED0.5	23.8	228.0	Mediterranean
4	Sep2023_conjBA_BeefDiet_009_L1-143.mzML	131045963.77788402	30161483.58621001	23.01595769659272	L1-143	MS1_pos	DP1	MED5.5	26.8	236.0	Mediterranean
1	Sep2023_conjBA_BeefDiet_010_L1-56.mzML	126149664.14717014	28886370.670215007	22.898491934560575	L1-56	MS1_pos	DP2	MED5.5	24.3	214.0	Mediterranean
35	Sep2023_conjBA_BeefDiet_045_L1-93.mzML	228032476.87282813	40927308.28131001	17.948017248496946	L1-93	MS1_pos	DP2	MED2.5	24.5	223.0	Mediterranean
36	Sep2023_conjBA_BeefDiet_046_L1-67.mzML	145584177.81391016	24095010.44261	16.55056943990777	L1-67	MS1_pos	DP3	MED0.5	27.2	216.0	Mediterranean
41	Sep2023_conjBA_BeefDiet_050_L1-139.mzML	144531395.82784522	27259162.33553998	18.860374370153473	L1-139	MS1_pos	DP4	MED0.5	27.5	234.0	Mediterranean
42	Sep2023_conjBA_BeefDiet_041_L1-77.mzML	187175550.27124444	35458869.05216	18.944177805688284	L1-77	MS1_pos	DP3	MED5.5	24.5	218.0	Mediterranean
83	Sep2023_conjBA_BeefDiet_097_L1-109.mzML	181879757.70734012	46073738.549370006	25.33197708758032	L1-109	MS1_pos	DP1	MED5.5	27.6	227.0	Mediterranean
