Species,Plant_Family,Acetylcholine,Cannabidiol,Dopamine,Glutamic_acid,Norepinephrine,Serotonin,THC,Tryptamine
Croton thorelii,Euphorbiaceae,0,0,0,0,0,1,0,0
Cucumis melo var. makuwa,Cucurbitaceae,0,0,0,0,0,1,0,0
Cucumis sativus,Cucurbitaceae,0,0,0,0,0,1,0,1
Cucurbita moschata,Cucurbitaceae,0,0,0,0,0,1,0,0
Cullen corylifolium,Fabaceae,0,0,0,1,0,0,0,0
Curcuma longa,Zingiberaceae,0,0,0,1,0,0,0,0
Cynophalla,Capparaceae,0,0,0,0,0,1,0,0
Dasymaschalon rostratum,Annonaceae,0,0,0,0,0,1,0,0
Datura stramonium,Solanaceae,0,0,0,1,0,1,0,0
Derris elliptica,Fabaceae,0,0,0,0,0,1,0,0
Diospyros lotus,Ebenaceae,0,0,0,0,0,1,0,0
Diplopterys pubipetala,Malpighiaceae,0,0,1,0,0,1,0,1
Dracaena angustifolia,Asparagaceae,0,0,0,0,0,1,0,0
Echinops latifolius,Asteraceae,0,0,0,0,1,0,0,0
Elaeagnus angustifolia,Elaeagnaceae,0,0,0,0,0,1,0,0
Elaeagnus umbellata,Elaeagnaceae,0,0,0,0,0,1,0,0
Eleutherococcus senticosus,Araliaceae,0,0,0,1,0,0,0,0
Encephalartos altensteinii,Zamiaceae,0,0,1,0,0,0,0,0
Ensete ventricosum,Musaceae,0,0,1,0,1,1,0,0
Eremophila rugosa,Scrophulariaceae,0,0,0,0,0,0,0,1
Eremophila scoparia,Scrophulariaceae,0,0,0,0,0,0,0,1
Erythrina stricta,Fabaceae,0,0,0,0,0,1,0,0
Eschscholzia californica,Papaveraceae,0,0,1,0,1,0,0,0
Espeletia ariana,Asteraceae,0,0,0,1,0,0,0,0
Eucharis x grandiflora,Amaryllidaceae,0,0,0,1,0,0,0,0
Eugenia florida,Myrtaceae,0,0,0,0,0,1,0,0
Eugenia moraviana,Myrtaceae,0,0,0,0,0,1,0,0
Euphorbia alluaudii,Euphorbiaceae,0,0,0,0,0,1,0,0
Euphorbia discolor,Euphorbiaceae,0,0,0,0,1,0,0,0
Euphorbia kansui,Euphorbiaceae,0,0,0,1,0,0,0,0
Euphorbia lathyris,Euphorbiaceae,0,0,0,1,1,0,0,0
Euterpe oleracea,Arecaceae,0,0,0,0,0,1,0,0
Fargesia robusta,Poaceae,0,0,0,0,0,1,0,0
Ficus carica,Moraceae,0,0,0,0,0,1,0,1
Ficus elastica,Moraceae,0,0,0,1,0,0,0,0
Ficus hirta,Moraceae,0,0,0,0,0,1,0,0
Flemingia grahamiana,Fabaceae,0,0,0,0,0,1,0,0
Frangula alnus,Rhamnaceae,0,0,1,0,0,0,0,0
Fritillaria thunbergii,Liliaceae,0,0,0,1,0,0,0,0
Fumaria officinalis,Papaveraceae,0,0,0,0,0,1,0,0
Furcraea foetida,Asparagaceae,0,0,0,1,0,0,0,0
Gallesia integrifolia,Phytolaccaceae,0,0,0,1,0,0,0,0
Gaudichaudia albida,Malpighiaceae,0,0,0,0,0,1,0,0
Gelrebia trothae,Fabaceae,0,0,0,1,0,0,0,0
Ginkgo biloba,Ginkgoaceae,0,0,1,0,0,0,0,0
Gnetum edule,Gnetaceae,0,0,0,0,0,1,0,0
Goeppertia ornata,Marantaceae,0,0,0,0,0,1,0,0
Goeppertia zebrina,Marantaceae,0,0,0,0,1,1,0,0
Gossypium arboreum,Malvaceae,0,0,0,1,0,1,0,0
Gossypium aridum,Malvaceae,0,0,0,0,0,1,0,0
Gossypium armourianum,Malvaceae,0,0,0,0,0,1,0,0
Gossypium barbadense,Malvaceae,0,0,0,0,0,1,0,0
Gossypium hirsutum,Malvaceae,0,0,0,0,0,1,0,0
Gossypium raimondii,Malvaceae,0,0,0,0,0,1,0,0
Gossypium stocksii,Malvaceae,0,0,0,0,0,1,0,0
Gossypium tomentosum,Malvaceae,0,0,0,0,0,1,0,0
Guatteria punctata,Annonaceae,0,0,1,0,0,0,0,0
Gynandropsis gynandra,Cleomaceae,0,0,0,1,0,0,0,0
Gynostemma pentaphyllum,Cucurbitaceae,0,0,0,1,0,0,0,0
Halodule wrightii,Cymodoceaceae,0,0,0,0,0,1,0,1
Hechtia texensis,Bromeliaceae,0,0,0,0,0,1,0,0
Hedera canariensis,Araliaceae,0,0,1,0,1,0,0,0
Helicteres lanceolata,Malvaceae,0,0,0,0,0,1,0,0
Heteranthera zosterifolia,Pontederiaceae,0,0,0,0,0,1,0,0
Heteropterys brachiata,Malpighiaceae,0,0,0,0,0,1,0,0
Heteropterys leona,Malpighiaceae,0,0,0,0,0,1,0,1
Heuchera sanguinea,Saxifragaceae,0,0,0,0,0,1,0,1
Hevea guianensis,Euphorbiaceae,0,0,0,1,0,0,0,0
Hibiscus sabdariffa,Malvaceae,0,0,0,0,0,1,0,0
Hibiscus syriacus,Malvaceae,0,0,0,0,0,1,0,0
Hiraea reclinata,Malpighiaceae,0,0,0,0,0,1,0,1
Humulus lupulus,Cannabaceae,0,0,0,0,0,1,0,0
Ilex opaca,Aquifoliaceae,0,0,0,1,0,0,0,0
Illicium micranthum,Schisandraceae,0,0,0,0,0,1,0,0
Illicium verum,Schisandraceae,0,0,0,0,0,1,0,0
Inga acuminata,Fabaceae,0,0,1,1,0,0,0,0
Inga edulis,Fabaceae,0,0,0,0,0,1,0,0
Inga heterophylla,Fabaceae,0,0,0,0,0,1,0,0
Inga marginata,Fabaceae,0,0,0,1,0,0,0,0
Inga striata,Fabaceae,0,0,0,0,0,1,0,0
Ipomoea purpurea,Convolvulaceae,0,0,1,0,0,0,0,0
Ipomoea tricolor,Convolvulaceae,0,0,0,0,0,1,0,0
Itea japonica,Iteaceae,0,0,0,0,0,1,0,0
Ixiolirion tataricum,Ixioliriaceae,0,0,0,0,0,1,0,0
Jasminum sambac,Oleaceae,0,0,0,1,0,0,0,0
Joosia,Rubiaceae,0,0,0,0,0,0,0,1
Juglans nigra,Juglandaceae,0,0,1,0,0,0,0,0
Juglans regia,Juglandaceae,0,0,0,0,0,1,0,0
Jungermannia,Jungermanniaceae,0,0,0,0,0,1,0,0
Khaya senegalensis,Meliaceae,0,0,0,1,0,0,0,0
Lathyrus oleraceus,Fabaceae,0,0,0,1,0,0,0,0
Laurus nobilis,Lauraceae,0,0,1,0,0,1,0,0
Leonotis nepetifolia,Lamiaceae,0,0,0,0,0,1,0,0
Leptochilus decurrens,Polypodiaceae,0,0,0,0,0,1,0,0
Licania,Chrysobalanaceae,0,0,0,1,0,0,0,0
Linaria buriatica,Plantaginaceae,0,0,0,0,1,0,0,0
Lindera benzoin,Lauraceae,0,0,1,0,0,0,0,0
Linum flavum,Linaceae,0,0,0,0,0,1,0,0
Linum perenne,Linaceae,0,0,0,0,0,1,0,0
Linum usitatissimum,Linaceae,0,0,0,1,0,0,0,0
Liquidambar formosana,Altingiaceae,0,0,0,0,0,1,0,0
Luffa aegyptiaca,Cucurbitaceae,0,0,0,0,0,1,0,0
Magnolia officinalis,Magnoliaceae,0,0,0,0,0,1,0,0
Malvaviscus arboreus,Malvaceae,0,0,0,0,0,1,0,0
Mangifera indica,Anacardiaceae,0,0,0,1,0,0,0,0
Manihot esculenta,Euphorbiaceae,0,0,0,1,0,1,0,0
Maranta leuconeura,Marantaceae,0,0,0,0,0,1,0,0
Marrubium vulgare,Lamiaceae,0,0,0,0,0,1,0,0
Matayba arborescens,Sapindaceae,0,0,0,0,0,1,0,0
Medicago sativa subsp. falcata,Fabaceae,0,0,0,0,0,1,0,0
Medicago truncatula,Fabaceae,0,0,0,0,0,1,0,0
Meliosma solomonii,Sabiaceae,0,0,1,0,0,0,0,0
Melissa officinalis,Lamiaceae,0,0,0,0,0,1,0,0
Miconia punctata,Melastomataceae,0,0,0,0,0,1,0,0
Miconia splendens,Melastomataceae,0,0,0,0,0,1,0,0
Mirabilis jalapa,Nyctaginaceae,0,0,1,0,1,0,0,0
Mollinedia ovata,Monimiaceae,0,0,1,0,0,0,0,0
Monstera deliciosa,Araceae,0,0,1,0,1,0,0,0
Morina longifolia,Caprifoliaceae,0,0,0,1,0,0,0,0
Moringa oleifera,Moringaceae,0,0,0,0,1,0,0,0
Morus alba,Moraceae,0,0,1,1,1,1,0,0
Mucuna pruriens,Fabaceae,0,0,0,0,1,0,0,0
Murraya koenigii,Rutaceae,0,0,0,1,0,0,0,0
Musa basjoo,Musaceae,0,0,1,1,0,0,0,0
Myrcianthes,Myrtaceae,0,0,1,0,0,0,0,0
Nandina domestica,Berberidaceae,0,0,1,0,0,0,0,0
Nectandra cissiflora,Lauraceae,0,0,1,0,0,0,0,0
Nectandra laurel,Lauraceae,0,0,1,0,0,1,0,0
Neea hermaphrodita,Nyctaginaceae,0,0,1,0,0,0,0,0
Neltuma laevigata,Fabaceae,0,0,0,0,0,1,0,1
Nelumbo nucifera,Nelumbonaceae,0,0,0,0,0,1,0,0
Neolitsea sericea,Lauraceae,0,0,1,0,0,0,0,0
