TaxID	no rank	superkingdom	kingdom	phylum	class	order	family	genus	subgenus	species	varietas	subspecies	forma
1933510			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Espeletia		Espeletia argentea			
1933508			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Espeletia		Espeletia annemariana			
287721			Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Aralia		Aralia continentalis			
3262			Viridiplantae	Streptophyta	Polypodiopsida	Equisetales	Equisetaceae	Equisetum		Equisetum hyemale			
105907			Viridiplantae	Streptophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana		Valeriana fauriei			
642532			Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Pyrola		Pyrola japonica			
459596			Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Cremastra		Cremastra appendiculata			
3528			Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Phytolaccaceae	Phytolacca		Phytolacca acinosa			
1548133			Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Bistorta		Bistorta manshuriensis			
81733			Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Asphodelaceae	Hemerocallis		Hemerocallis minor			
197796			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago		Plantago asiatica			
265783			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia		Artemisia capillaris			
106335			Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus		Hibiscus syriacus			
54806			Viridiplantae	Streptophyta	Magnoliopsida	Piperales	Saururaceae	Saururus		Saururus chinensis			
714499			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Sigesbeckia		Sigesbeckia pubescens			
49563			Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Peucedanum		Peucedanum japonicum			
50864			Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum		Aconitum ciliare			
273621			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia pekinensis			
401898			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia		Artemisia gmelinii			
2039304			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Chrysanthemum		Chrysanthemum zawadzkii	Chrysanthemum zawadzkii var. latilobum	Chrysanthemum zawadzkii subsp. latilobum	
29683			Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Lophatherum		Lophatherum gracile			
330892			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Eupatorium		Eupatorium fortunei			
210334			Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Simaroubaceae	Picrasma		Picrasma quassioides			
4217			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Arctium		Arctium lappa			
108546			Viridiplantae	Streptophyta	Magnoliopsida	Liliales	Liliaceae	Fritillaria		Fritillaria thunbergii			
58046			Viridiplantae	Streptophyta	Pinopsida	Cupressales	Cupressaceae	Platycladus		Platycladus orientalis			
54801			Viridiplantae	Streptophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Nuphar		Nuphar japonica			
108594			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Bignoniaceae	Campsis		Campsis grandiflora			
3252			Viridiplantae	Streptophyta	Lycopodiopsida	Lycopodiales	Lycopodiaceae	Lycopodium		Lycopodium clavatum			
74645	Rosoideae incertae sedis		Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rosa		Rosa rugosa			
159976			Viridiplantae	Streptophyta	Magnoliopsida	Santalales	Viscaceae	Viscum		Viscum coloratum			
2768810			Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Simaroubaceae	Ailanthus		Ailanthus altissimus			
